sex,init_bmi,chng_bmi,age,n_microbiol,pancreatic_enzyme_suppl,lag_fev,lag_bmi,pred,lower,upper,ageg,vary,weight_cat
F,14.2,13.3,10,14.521808818119705,TRUE,70,27.5,18.444306344797223,15.499903781313161,21.388708908281284,Child,Change in BMI,Underweight
F,14.2,13.4,10,14.521808818119705,TRUE,70,27.6,18.442848492590624,15.457082950251134,21.428614034930114,Child,Change in BMI,Underweight
F,14.2,13.5,10,14.521808818119705,TRUE,70,27.7,18.43998999052241,15.412763181560617,21.467216799484202,Child,Change in BMI,Underweight
F,14.2,13.600000000000001,10,14.521808818119705,TRUE,70,27.8,18.435745843952215,15.36696244115705,21.50452924674738,Child,Change in BMI,Underweight
F,14.2,13.700000000000001,10,14.521808818119705,TRUE,70,27.9,18.430130969375544,15.319698335194378,21.54056360355671,Child,Change in BMI,Underweight
F,14.2,13.8,10,14.521808818119705,TRUE,70,28,18.423160194423875,15.270988111364069,21.57533227748368,Child,Change in BMI,Underweight
F,14.2,13.9,10,14.521808818119705,TRUE,70,28.1,18.41484825786463,15.220848660083716,21.608847855645546,Child,Change in BMI,Underweight
F,14.2,14,10,14.521808818119705,TRUE,70,28.2,18.405209809601157,15.169296515586128,21.641123103616188,Child,Change in BMI,Underweight
F,14.2,14.100000000000001,10,14.521808818119705,TRUE,70,28.3,18.394259410672724,15.116347856919337,21.672170964426112,Child,Change in BMI,Underweight
F,14.2,14.200000000000001,10,14.521808818119705,TRUE,70,28.4,18.382011533254566,15.062018508867833,21.7020045576413,Child,Change in BMI,Underweight
F,14.2,14.3,10,14.521808818119705,TRUE,70,28.5,18.36848056065782,15.006323942804801,21.730637178510836,Child,Change in BMI,Underweight
F,14.2,14.4,10,14.521808818119705,TRUE,70,28.6,18.353680787329598,14.949279277485267,21.758082297173928,Child,Change in BMI,Underweight
F,14.2,14.5,10,14.521808818119705,TRUE,70,28.7,18.337626418852906,14.89089927978938,21.784353557916432,Child,Change in BMI,Underweight
F,14.2,14.600000000000001,10,14.521808818119705,TRUE,70,28.8,18.320331571946724,14.831198365425351,21.809464778468097,Child,Change in BMI,Underweight
F,14.2,14.700000000000001,10,14.521808818119705,TRUE,70,28.9,18.301810274465936,14.770190599600697,21.833429949331173,Child,Change in BMI,Underweight
F,14.2,14.8,10,14.521808818119705,TRUE,70,29,18.28207646540139,14.707889697670897,21.85626323313188,Child,Change in BMI,Underweight
F,14.2,14.9,10,14.521808818119705,TRUE,70,29.1,18.261143994879863,14.64430902577379,21.877978963985935,Child,Change in BMI,Underweight
F,14.2,15,10,14.521808818119705,TRUE,70,29.2,18.239026624164048,14.57946160145821,21.898591646869885,Child,Change in BMI,Underweight
F,14.2,15.100000000000001,10,14.521808818119705,TRUE,70,29.3,18.2157380256526,14.513360094315093,21.918115956990103,Child,Change in BMI,Underweight
F,14.2,15.200000000000001,10,14.521808818119705,TRUE,70,29.4,18.191291782880104,14.446016826618932,21.936566739141277,Child,Change in BMI,Underweight
F,14.2,15.3,10,14.521808818119705,TRUE,70,29.5,18.165701390517057,14.377443773987457,21.953959007046656,Child,Change in BMI,Underweight
F,14.2,15.4,10,14.521808818119705,TRUE,70,29.6,18.138980254369937,14.307652566067347,21.970307942672527,Child,Change in BMI,Underweight
F,14.2,15.5,10,14.521808818119705,TRUE,70,29.7,18.111141691381114,14.236654487253182,21.985628895509045,Child,Change in BMI,Underweight
F,14.2,15.600000000000001,10,14.521808818119705,TRUE,70,29.8,18.08219892962892,14.164460477447292,21.999937381810547,Child,Change in BMI,Underweight
F,14.2,15.700000000000001,10,14.521808818119705,TRUE,70,29.9,18.052165108327632,14.091081132867451,22.013249083787812,Child,Change in BMI,Underweight
F,14.2,15.8,10,14.521808818119705,TRUE,70,30,18.021053277827423,14.016526706909469,22.02557984874538,Child,Change in BMI,Underweight
F,14.2,15.9,10,14.521808818119705,TRUE,70,30.1,17.988876399614437,13.940807111071738,22.036945688157136,Child,Change in BMI,Underweight
F,14.2,16,10,14.521808818119705,TRUE,70,30.2,17.95564734631075,13.863931915948188,22.047362776673317,Child,Change in BMI,Underweight
